round,trained,pre_winrate_a,pre_winrate_b,episodes
1,rl_model.pth,0.5,0.5,30
2,rl_model.pth,0.5,0.5,30
3,rl_model_20260225_120931.pth,0.5,0.5,30
4,rl_model_20260225_120931.pth,0.5,0.5,30
5,rl_model.pth,0.5,0.5,30
6,rl_model_20260225_120931.pth,0.5,0.5,30
7,rl_model.pth,0.5,0.5,30
8,rl_model.pth,0.5,0.5,30
9,rl_model.pth,0.5,0.5,30
10,rl_model_20260225_120931.pth,0.5,0.5,30
11,rl_model.pth,0.5,0.5,30
12,rl_model.pth,0.5,0.5,30
13,rl_model.pth,0.5,0.5,30
14,rl_model.pth,0.5,0.5,30
15,rl_model.pth,0.5,0.5,30
16,rl_model.pth,0.5,0.5,30
17,rl_model.pth,0.5,0.5,30
18,rl_model_20260225_120931.pth,0.5,0.5,30
19,rl_model_20260225_120931.pth,0.5,0.5,30
20,rl_model.pth,0.5,0.5,30
